State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Sex Ratio,Literacy Rate
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,438257,380088,1004553,101235,26000,182,109,4710,238505,4510,311660,80766,392426,114570,257550,160083,177585,96470,72420,246504,167369,1008.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,607188,480204,1520553,128751,3175,322,84,3778,307257,5711,349704,97644,447348,188329,332648,196470,217567,132435,75262,270699,107142,974.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,720637,587903,1658465,265805,5420,307,164,6417,372671,7320,354680,176011,530691,242130,446793,206686,269748,154781,123863,353628,188046,972.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,711776,589888,1390020,386834,28747,1486,715,29037,347962,15013,199707,283397,483104,252596,383041,185530,227113,143453,137768,349008,212091,971.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,397178,302999,907750,143665,3432,231,79,5993,198064,3373,180066,111906,291972,121615,244640,112703,105150,63816,42053,191541,45668,982.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,828359,599009,2011014,513125,8344,826,9589,4865,404767,9752,400704,199303,600007,177860,579057,270622,290570,153746,104256,340251,118792,971.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,668836,556420,1630814,120011,15611,289,623,5820,400702,4851,496103,132878,628981,182255,354480,232531,292369,147837,103152,403052,171212,1010.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,603793,481650,1281878,297927,2406,419,68,9834,295937,2456,315076,98488,413564,240925,430529,201965,158442,84357,55310,288495,121420,950.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,215302,197575,448986,87274,17130,139,126,250,113931,3308,181182,31792,212974,51287,111562,75291,86232,54939,43225,125535,112626,1019.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,564110,452109,1305431,199873,26722,253,150,2494,309494,5051,326567,151042,477609,138015,289841,228422,225498,107929,71422,242038,141675,979.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,468785,340300,1218024,161770,4081,296,85,2898,223166,2135,272968,64681,337649,222140,357098,127605,113028,72243,43967,218749,47931,986.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,638668,510981,1712695,77801,8506,322,299,3607,391033,3367,458867,103435,562302,145178,309476,226552,308624,157839,102838,388674,159818,995.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,1063766,898414,2631985,290549,39361,1255,16194,14419,640868,28397,540596,380386,920982,207091,537686,404565,452412,222230,212541,611989,378503,985.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,577213,402556,1634062,272022,10394,538,2265,4156,314547,5200,330446,125402,455848,147743,385673,163709,153346,82082,50463,286629,74326,1000.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,674938,588078,1479424,234664,26521,400,120,9234,363835,8791,352444,201662,554106,191641,385978,292481,251095,132138,111753,369749,286129,998.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,1006024,807367,2413812,245923,9130,477,187,5067,562769,7971,685443,204799,890242,270373,500593,386998,423738,213588,143735,519944,206821,984.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,465704,460725,1009179,96740,65838,232,161,4534,224814,9070,269817,115572,385389,142493,286193,176260,178094,109663,107279,229830,214808,1094.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,890552,962245,1460447,224545,435056,268,146,74,507913,28842,331419,392117,723536,133039,334339,418953,573306,274789,198858,445638,490935,1100.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,1425723,1429953,1509557,514397,1248137,860,614,1176,771287,88737,369694,804997,1174691,212263,446380,554817,702511,389793,429880,739614,774743,1027.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,471881,451129,541854,82206,481507,100,189,44,244844,8250,391610,20823,412433,79149,166604,209398,261237,136428,86136,203816,246878,1006.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,1012956,1125478,1509592,742483,262526,424,1118,193,511167,32653,306288,566191,872479,204713,487016,491844,540383,308670,217203,497016,530436,1136.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,516476,521016,729987,486913,87454,151,362,130,237670,10378,251641,166164,417805,115476,268084,230416,238900,122657,76192,236961,245747,1080.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1246968,1388407,2240273,1074345,1165928,1697635,508500,421598,208,272,63,630767,31542,523715,401415,925130,172247,406592,562529,595191,307950,233402,532705,626758,1113.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,968289,1006262,1749798,861592,888206,983598,126499,858608,204,358,83,464039,37849,481967,196194,678161,117681,271496,373998,475724,280720,221350,416985,464124,1039.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1470942,1615351,2615443,1266939,1348504,1734958,1211131,131516,297,235,601,641660,36791,323793,666543,990336,247996,564392,647221,630818,351267,250117,613671,668842,1098.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1960328,2152592,3311315,1597404,1713911,1135259,2888849,81556,205,179,68,730119,27909,634543,522586,1157129,415601,770417,814285,933793,392867,203779,692169,754074,1098.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1359478,1450456,2239492,1122600,1116892,1875980,812936,114397,220,238,78,587583,27162,665899,228442,894341,249198,492864,608176,572412,232109,180540,511877,564142,1067.0,80.0
